,Location,Price,Apt Type,Num of Bath,Neighborhood,District
6164,East 55th Street,"4,100",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
6165,West 151st Street,"3,049",2 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
6166,Duane Street,"22,000",3 Bed,3,Tribeca, Downtown Manhattan
6167,West 50th Street,"7,995",4 Bed,2,Hell's Kitchen, Midtown Manhattan
6168,East 47th Street,"3,550",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
6169,Wall Street,"4,460",1 Bed,1,Financial District, Downtown Manhattan
6170,Maiden Lane and Pearl Street,"3,163",Studio,1,Financial District, Downtown Manhattan
6171,Park Avenue,"4,000",1 Bed,1,Murray Hill, Midtown Manhattan
6172,West 171st Street,"2,350",1 Bed,1,Washington Heights, Upper Manhattan
6173,Wall Street,"4,190",3 Bed,1,Financial District, Downtown Manhattan
6174,E.26th St & Lexington Ave NO-F...,"3,450",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
6175,"220 East 63rd Street, Apt 12A","7,150",2 Bed,2,Upper East Side, Upper Manhattan
6176,"507 Manhattan Avenue, Apt #3","2,300",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
6177,East 34 Street,"3,995",1 Bed,1,Murray Hill, Midtown Manhattan
6178,East 7th Street,"2,499",Studio,1,East Village, Downtown Manhattan
6179,9th Avenue & West 51st Street,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
6180,Spruce Street,"25,000",3 Bed,3.5,Financial District, Downtown Manhattan
6181,Wall Street & Hanover Street,"3,483",Studio,1,Financial District, Downtown Manhattan
6182,Water Street,"3,140",Studio,1,Financial District, Downtown Manhattan
6183,9th Avenue & West 51st Street,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
6184,Spruce Street,"25,000",3 Bed,3.5,Financial District, Downtown Manhattan
6185,East 63rd Street,"4,550",1 Bed,1,Upper East Side, Upper Manhattan
6186,Spruce Street,"5,344",1 Bed,1,Financial District, Downtown Manhattan
6187,East 33rd Street and Lexingto...,"3,595",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
6188,East 63rd Street,"4,500",1 Bed,1,Upper East Side, Upper Manhattan
6189,East 36th Street,"2,900",Studio,1,Murray Hill, Midtown Manhattan
6190,"210 East 68th Street, Apt 14C","25,000","4 Bed
/ Flex 5",4,Upper East Side, Upper Manhattan
6191,"95 Horatio Street, Apt 10C","9,200",2 Bed,2,West Village, Downtown Manhattan
6192,East 77 Street,"2,050",Studio,1,Upper East Side, Upper Manhattan
6193,East 7th Street,"2,499",Studio,1,East Village, Downtown Manhattan
6194,East 78th Street and York Ave,"2,225",Studio,1,Upper East Side, Upper Manhattan
6195,"400 West 113th Street, Apt 142...","6,571",2 Bed,1,"Morningside Heights, West Harlem, Harlem", Upper Manhattan
6196,"241 West 13th Street, Apt 14","4,900",2 Bed,1,West Village, Downtown Manhattan
6197,East 11th Street,"3,750",1 Bed,1,East Village, Downtown Manhattan
6198,Orchard Street,"4,195",2 Bed,1,Lower East Side, Downtown Manhattan
6199,Wall Street,"4,016",Studio,1,Financial District, Downtown Manhattan
6200,Pine Street,"4,490",Studio,1,Financial District, Downtown Manhattan
6201,Exchange Place,"2,866",Studio,1,Financial District, Downtown Manhattan
6202,East 5th Street,"2,725",Studio,1,"Alphabet City, East Village", Downtown Manhattan
6203,West 53 Street,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
6204,West 49th street,"2,795",1 Bed,1,Hell's Kitchen, Midtown Manhattan
